region_id,station_id,weight
beaujolais,71165001,0.006536
beaujolais,71176002,0.006536
beaujolais,71190001,0.006536
beaujolais,71202001,0.006536
beaujolais,71210001,0.006536
beaujolais,71219001,0.006536
beaujolais,71230002,0.006536
beaujolais,71231003,0.006536
beaujolais,71240001,0.006536
beaujolais,71256001,0.006536
beaujolais,71263004,0.006536
beaujolais,71266001,0.006536
beaujolais,71267001,0.006536
beaujolais,71267002,0.006536
beaujolais,71275002,0.006536
beaujolais,71289001,0.006536
beaujolais,71291001,0.006536
beaujolais,71294001,0.006536
beaujolais,71310002,0.006536
beaujolais,71318001,0.006536
beaujolais,71320001,0.006536
beaujolais,71340002,0.006536
beaujolais,71342001,0.006536
beaujolais,71346001,0.006536
beaujolais,71349001,0.006536
beaujolais,71351001,0.006536
beaujolais,71371001,0.006536
beaujolais,71372001,0.006536
beaujolais,71373001,0.006536
beaujolais,71376001,0.006536
beaujolais,71378001,0.006536
beaujolais,71379001,0.006536
beaujolais,71394001,0.006536
beaujolais,71405001,0.006536
beaujolais,71417004,0.006536
beaujolais,71419002,0.006536
beaujolais,71420001,0.006536
beaujolais,71445001,0.006536
beaujolais,71460001,0.006536
beaujolais,71464001,0.006536
beaujolais,71472005,0.006536
beaujolais,71482001,0.006536
beaujolais,71486002,0.006536
beaujolais,71491001,0.006536
beaujolais,71495001,0.006536
beaujolais,71506001,0.006536
beaujolais,71512001,0.006536
beaujolais,71523001,0.006536
beaujolais,71539001,0.006536
beaujolais,71540002,0.006536
beaujolais,71541001,0.006536
beaujolais,71542001,0.006536
beaujolais,71542004,0.006536
beaujolais,71543001,0.006536
beaujolais,71551001,0.006536
beaujolais,71551002,0.006536
beaujolais,71558001,0.006536
beaujolais,71566001,0.006536
beaujolais,71589001,0.006536
bordeaux,33009001,0.015152
bordeaux,33011001,0.015152
bordeaux,33021002,0.015152
bordeaux,33029001,0.015152
bordeaux,33036001,0.015152
bordeaux,33042001,0.015152
bordeaux,33042005,0.015152
bordeaux,33049001,0.015152
bordeaux,33051001,0.015152
bordeaux,33063001,0.015152
bordeaux,33076001,0.015152
bordeaux,33077001,0.015152
bordeaux,33077002,0.015152
bordeaux,33080001,0.015152
bordeaux,33095001,0.015152
bordeaux,33097002,0.015152
bordeaux,33116001,0.015152
bordeaux,33119001,0.015152
bordeaux,33122003,0.015152
bordeaux,33138001,0.015152
bordeaux,33145001,0.015152
bordeaux,33150001,0.015152
bordeaux,33151001,0.015152
bordeaux,33159001,0.015152
bordeaux,33195001,0.015152
bordeaux,33198001,0.015152
bordeaux,33203001,0.015152
bordeaux,33214002,0.015152
bordeaux,33218001,0.015152
bordeaux,33230002,0.015152
bordeaux,33234002,0.015152
bordeaux,33236002,0.015152
bordeaux,33236004,0.015152
bordeaux,33240001,0.015152
bordeaux,33242001,0.015152
bordeaux,33281001,0.015152
bordeaux,33289002,0.015152
bordeaux,33298002,0.015152
bordeaux,33314003,0.015152
bordeaux,33314005,0.015152
bordeaux,33328001,0.015152
bordeaux,33343001,0.015152
bordeaux,33345001,0.015152
bordeaux,33394002,0.015152
bordeaux,33415001,0.015152
bordeaux,33424001,0.015152
bordeaux,33432002,0.015152
bordeaux,33445001,0.015152
bordeaux,33456001,0.015152
bordeaux,33473001,0.015152
bordeaux,33482001,0.015152
bordeaux,33484001,0.015152
bordeaux,33484002,0.015152
bordeaux,33494001,0.015152
bordeaux,33504001,0.015152
bordeaux,33506001,0.015152
bordeaux,33514003,0.015152
bordeaux,33522001,0.015152
bordeaux,33523001,0.015152
bordeaux,33525001,0.015152
bordeaux,33528001,0.015152
bordeaux,33529001,0.015152
bordeaux,33540001,0.015152
bordeaux,33541001,0.015152
bordeaux,33544001,0.015152
bordeaux,33550001,0.015152
bourgogne,21010001,0.003534
bourgogne,21012001,0.003534
bourgogne,21030001,0.003534
bourgogne,21038001,0.003534
bourgogne,21043001,0.003534
bourgogne,21056001,0.003534
bourgogne,21065001,0.003534
bourgogne,21068001,0.003534
bourgogne,21109001,0.003534
bourgogne,21116002,0.003534
bourgogne,21131001,0.003534
bourgogne,21139001,0.003534
bourgogne,21142001,0.003534
bourgogne,21146001,0.003534
bourgogne,21154001,0.003534
bourgogne,21164002,0.003534
bourgogne,21228001,0.003534
bourgogne,21231001,0.003534
bourgogne,21231007,0.003534
bourgogne,21237001,0.003534
bourgogne,21296001,0.003534
bourgogne,21299001,0.003534
bourgogne,21304002,0.003534
bourgogne,21308001,0.003534
bourgogne,21310001,0.003534
bourgogne,21312001,0.003534
bourgogne,21321001,0.003534
bourgogne,21326001,0.003534
bourgogne,21332001,0.003534
bourgogne,21349001,0.003534
bourgogne,21361001,0.003534
